"validation_rank","gene_name","log2FoldChange","abs_log2FC","pvalue","padj","direction","validation_status","AUC","CI_lower","CI_upper","sensitivity","specificity","ROC_rank","stability_score","stability_rank","top10_stability","top20_stability","importance","ML_rank","baseMean","lfcSE","stat","score_AUC","score_sensitivity","score_specificity","score_stability","score_ML","score_DE","integrated_score","integrated_rank"
40,"EMP2",0.0510080124450551,0.0510080124450551,0.645781912706679,0.645781912706679,"Up in Tumor","Not validated",0.495017782192176,0.427781677721661,0.56225388666269,0.338374291115312,0.779661016949153,24,0.330374086466319,8,0.8,1,0.0558271154550842,7,10599.357057016,0.110976277615591,0.459629873527937,0.495017782192176,0.338374291115312,0.779661016949153,0.82051282051282,0.846153846153846,0,0.58581002424359,21
36,"STX11",-0.281993034301034,0.281993034301034,0.0108907945767152,0.0121008828630169,"Down in Tumor","Weakly validated",0.33395277306078,0.275619829262739,0.392285716858821,0.0283553875236295,1,29,0.637909970046595,4,1,1,0.119584658599653,2,531.808884521016,0.110751264710884,-2.54618342316159,0.33395277306078,0.0283553875236295,1,0.923076923076923,0.974358974358974,0.102564102564103,0.577485091137329,22
26,"OTUD1",0.864524907057805,0.864524907057805,3.50063301125596e-17,5.3855892480861e-17,"Up in Tumor","Weakly validated",0.802281246996251,0.745834702693792,0.858727791298711,0.77882797731569,0.711864406779661,21,0.00958036795991066,24,0,0.4,0.00334904508321403,28,989.363885275079,0.102571373285529,8.42852034993448,0.802281246996251,0.77882797731569,0.711864406779661,0.41025641025641,0.307692307692308,0.282051282051282,0.560375820819254,23
24,"FABP4",-2.66962699395586,2.66962699395586,3.59757757962071e-32,5.99596263270118e-32,"Down in Tumor","Strongly validated",0.0533465765275063,0.0355101342150594,0.0711830188399533,0.00189035916824197,1,38,0.842906482078274,1,1,1,0.0968926361834514,3,323.520097838945,0.226108175639941,-11.8068574318473,0.0533465765275063,0.00189035916824197,1,1,0.948717948717949,0.435897435897436,0.546953531340446,24
20,"FGB",10.55941630909,10.55941630909,2.58839477075731e-94,5.17678954151462e-94,"Up in Tumor","Strongly validated",0.837076671686264,0.802605889471159,0.87154745390137,0.722117202268431,0.915254237288136,20,0.0007875150047988,37,0,0,0.00038677634802872,40,8546.31987035084,0.512522498316124,20.6028346926869,0.837076671686264,0.722117202268431,0.915254237288136,0.0769230769230769,0,0.974358974358974,0.521932684811157,25
29,"RTKN2",-1.29672663262783,1.29672663262783,9.16851582021269e-16,1.26462287175347e-15,"Down in Tumor","Validated",0.137932139309859,0.0939672687343387,0.181897009885379,0.00378071833648393,1,34,0.477398342459286,6,1,1,0.0770880844142994,6,1011.03314845283,0.16133444606106,-8.0375063372211,0.137932139309859,0.00378071833648393,1,0.871794871794872,0.871794871794872,0.333333333333333,0.517101424629219,26
33,"ACVRL1",0.30625456574701,0.30625456574701,2.69158014695584e-05,3.2625213902495e-05,"Up in Tumor","Weakly validated",0.658101310435423,0.593467868024752,0.722734752846095,0.32703213610586,0.949152542372881,22,0.0113184086464503,23,0,0.2,0.00530609226710022,21,1571.27675382295,0.0729506710261607,4.19810484864744,0.658101310435423,0.32703213610586,0.949152542372881,0.435897435897436,0.487179487179487,0.128205128205128,0.50593129969792,27
28,"CLEC3B",-1.19969563887108,1.19969563887108,2.71221984705018e-16,3.87459978150026e-16,"Down in Tumor","Validated",0.0742366473358752,0.0515634313805399,0.0969098632912104,0.0113421550094518,1,36,0.430993162523005,7,1,1,0.0493692635570869,8,199.304634163278,0.146563883862681,-8.18547930945326,0.0742366473358752,0.0113421550094518,1,0.846153846153846,0.82051282051282,0.307692307692308,0.484363049187951,28
23,"FAM107A",-1.83363671923585,1.83363671923585,8.59804812134331e-33,1.49531271675536e-32,"Down in Tumor","Validated",0.0682932299509788,0.0422312084261863,0.0943552514757714,0.0056710775047259,1,37,0.298129471659137,9,0.8,1,0.0437294394710612,9,592.96031086392,0.153743021818586,-11.9266337915454,0.0682932299509788,0.0056710775047259,1,0.794871794871795,0.794871794871795,0.384615384615385,0.47433422552371,29
22,"SLC6A4",-3.4535579771805,3.4535579771805,3.96473510697151e-36,7.20860928540275e-36,"Down in Tumor","Strongly validated",0.0315914260997725,0.0136026546204078,0.0495801975791373,0.00189035916824197,1,39,0.210820063354502,10,0.4,1,0.0348019385019057,10,218.631602807218,0.275179369350949,-12.550206744518,0.0315914260997725,0.00189035916824197,1,0.769230769230769,0.769230769230769,0.487179487179487,0.464591666810436,30
