"gene_name","log2FoldChange","padj","Significance"
"SOST",-1.2507053190968,0.00155543165419912,"Downregulated"
"KDM5C-IT1",1.24527285717486,0.00155563398784359,"Upregulated"
"AC091931.1",2.13418744136318,0.00155805847892528,"Upregulated"
"RPL35AP10",2.20055531716427,0.00155831753506358,"Upregulated"
"PSMC1P10",1.35016097609343,0.00156392180909843,"Upregulated"
"CCDC58P5",1.57389243794533,0.00156481153057731,"Upregulated"
"AL356776.1",2.33953669091155,0.00156488430413018,"Upregulated"
"LINC02802",1.01372165796431,0.00156503660253542,"Upregulated"
"Y_RNA",2.49125201515079,0.00156701403610948,"Upregulated"
"RN7SL801P",3.33283048796351,0.00156847512811208,"Upregulated"
"TNMD",1.57735435760451,0.00156852139337329,"Upregulated"
"AC005495.1",1.29190988727804,0.0015697408585025,"Upregulated"
"HAND2-AS1",1.16510076131003,0.00158488575565455,"Upregulated"
"GUCA1A",1.13450175693191,0.00159253167232619,"Upregulated"
"AP001172.1",2.26972614893921,0.00159731852744906,"Upregulated"
"LARP4P",1.91386231838139,0.00160378003774514,"Upregulated"
"TDRD15",1.59166037575191,0.00160496002066247,"Upregulated"
"PSORS1C2",1.02125387407569,0.00160698183112104,"Upregulated"
"AL137077.1",1.62074798784199,0.00160780943261721,"Upregulated"
"AL445487.1",1.30711200808423,0.00160893790652788,"Upregulated"
"TNPO1P1",1.15515911769289,0.00161202661863748,"Upregulated"
"HSPE1P7",1.28948161289275,0.00161429607917456,"Upregulated"
"AC018714.2",1.70761387515165,0.00161860588366646,"Upregulated"
"AC087276.3",1.80814557555713,0.00161948427892209,"Upregulated"
