"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"NOX1/ADRB1/EDN1/CMA1/CTSG/ADRA1A/EDN3/AVPR2/EDN2/AGT/EDNRB/SLC2A5/AGTR1/ACE/CPA3/F2RL1/OR51E2/ADRB2/AGTR2/AVPR1B/RASL10B",21
"GO:0014075","response to amine","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"CPS1/EDN1/CAD/RGS17/SLC1A1/ASIC1/NR4A1/PDE1B/KCNC1/GRIA1/ITGA2/SLC18A2/HPRT1/KCNC2/CDK1/GLDC/TH/NQO1/RGS7/GRIN2A/CNR2",21
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"CDH1/CDH10/CDH3/CDH19/CDH17/CDH7/CDH20/CDH23/PCDH12/CDHR3/CDH15/DSG1/CDH24/CDH13/CDH18/CDH12/DCHS1/CDH2/SELP/CDH5/PCDHGC3",21
"GO:0042311","vasodilation","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"CPS1/CASR/ADRB1/NOS1/CALCA/KNG1/KAT2B/NPPB/KCNJ8/KLF2/EDNRB/ADRA2A/ADORA1/UCN/F2RL1/GPER1/VSTM4/ADRB2/AGTR2/PRKG1/GJA5",21
"GO:0061383","trabecula morphogenesis","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"TGFBR3/TGFB2/ENG/COL1A1/FHL2/MSX2/TEK/HEY2/CHAD/RBP4/FBN2/ADAMTS1/PPARGC1B/NRG1/FOXH1/GREM1/WNT10B/S1PR1/HEG1/CAV3/NKX2-5",21
"GO:0090102","cochlea development","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"MYO3B/MCM2/KCNK2/MYO3A/CALB1/HPN/HOXA1/SOBP/TBX18/TBX2/SOX9/SIX1/HEY2/CCNA2/ZEB1/GRHL3/CTHRC1/DCHS1/KCNK3/GATA2/GABRA5",21
"GO:0090329","regulation of DNA-templated DNA replication","21/4647","47/18870",0.00209352063505778,0.0192887556596781,0.015120862938895,"DBF4/MCM2/MCM6/CDC7/MCM4/TIMELESS/GMNN/CHTF18/E2F8/PCNA/DSCC1/TICRR/DBF4B/RFC4/E2F7/MCM7/CDT1/BLM/MCIDAS/POLG2/DACH1",21
"GO:0003151","outflow tract morphogenesis","32/4647","81/18870",0.00214381131207541,0.0196941021561583,0.0154386226183775,"ISL1/FGFR2/TGFBR3/EDN1/WNT11/TGFB2/ENG/MSX2/TBX2/TWIST1/SIX1/TBX3/HEY2/SMAD6/PRICKLE1/GATA6/SFRP2/FOXH1/TGFBR2/HEYL/PITX2/NPY5R/TBX20/SOX17/SOX11/NKX2-5/CLDN5/ROBO2/NPY2R/SOX18/BMPR2/GJA5",32
"GO:0051304","chromosome separation","32/4647","81/18870",0.00214381131207541,0.0196941021561583,0.0154386226183775,"NCAPD2/SPDL1/TRIP13/NDC80/BIRC5/NCAPG/TTK/CDC20/CENPF/DUSP1/NCAPH/ZWINT/DLGAP5/CCNB1/CDCA8/ESPL1/KNL1/NUF2/NCAPG2/INCENP/SPC25/BUB1B/SPC24/MAD2L1/PLK1/BUB1/ZWILCH/UBE2C/HASPIN/GEN1/AURKB/KNTC1",32
"GO:0050770","regulation of axonogenesis","55/4647","157/18870",0.00219258620170523,0.020112638237343,0.0157667218918732,"CDKL5/SEMA3G/SEMA3B/CDH1/FSTL4/TRPC5/SEMA3A/PAK3/SEMA6A/MCF2/MAG/LIMK1/CXCL12/WNT3/UST/SEMA5A/TNR/SPP1/PLXNA3/EPHB2/EPHA7/KIAA0319/SEMA6D/ADCY10/CRABP2/SLIT2/NTRK2/PAK1/SEMA3D/THY1/WNT3A/CHODL/WNT7A/BRSK1/TRIM46/RET/SHOX2/CDH2/MAP6/BRSK2/BDNF/SLITRK1/AMIGO1/EPHB3/CNTN2/EFNA5/POU3F2/ROBO2/SEMA4B/DCC/TRPV2/PLXNB3/L1CAM/BMPR2/NEFL",55
