"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016917","GABA receptor activity","14/4787","22/18496",0.000212792877650578,0.00286561075236112,0.00234694366812275,"GABRA3/GABRP/GABRE/GABRA4/GABRR2/GABRG2/GABBR2/GABRR1/GABRB1/GABRG3/GABRR3/GABRA5/GABRD/GABRQ",14
"GO:0038024","cargo receptor activity","30/4787","64/18496",0.000232705068408831,0.00309932464737916,0.00253835603828257,"MARCO/MSR1/TFRC/HMMR/SCARF1/TFR2/ENDOU/PRG4/ACKR4/LDLR/LYVE1/CD36/STAB2/ENPP2/ASGR1/ACKR2/MEGF10/DAB2/LRP8/COLEC12/CXCL16/AMN/SCARA5/LRP1B/OLR1/CD163/APOBR/DMBT1/AGER/MRC1",30
"GO:0004869","cysteine-type endopeptidase inhibitor activity","20/4787","37/18496",0.000240926298347088,0.00317394210431164,0.00259946795585016,"LTF/SERPINB3/BIRC5/FETUB/CST4/WFDC2/KNG1/HRG/CSTA/CSTL1/AHSG/SPOCK1/LCN1/PTTG1/CST5/CST2/CST1/SERPINB13/CARD16/CARD18",20
"GO:0001972","retinoic acid binding","13/4787","20/18496",0.000265522279502239,0.00346035486835175,0.00283404085535496,"CYP26B1/CYP2W1/CYP26A1/LRAT/CRABP2/FABP5/CRABP1/LCN12/CYP27C1/SERPINA5/UGT1A1/UGT1A8/UGT1A7",13
"GO:0019199","transmembrane receptor protein kinase activity","35/4787","79/18496",0.000290190437732735,0.0037416043673625,0.00306438502555396,"INSRR/MUSK/FLT4/TIE1/FGFR2/TGFBR3/EPHA8/EPHA6/LTBP4/PDGFRL/MET/ENG/EFEMP1/TEK/EPHB2/EPHA7/ACVRL1/NTRK3/EFNA3/NTRK2/CRIM1/EPHB1/FGFR4/DDR2/TGFBR2/MST1R/RET/HJV/SOSTDC1/ERBB4/EPHB3/EPHA10/BMPR2/EFNA4/TGFBR3L",35
"GO:0005254","chloride channel activity","36/4787","82/18496",0.000297552735759117,0.00376316366551992,0.00308204215440793,"CFTR/GABRA3/CLCA1/ANO2/GABRP/GABRE/GABRA4/GABRR2/CLIC5/GABRG2/CLCN2/SLC1A4/BEST3/NMUR2/TTYH3/BEST4/GLRA3/ANO7/GABRR1/CLIC6/SLC1A7/KCNT2/GABRB1/TTYH1/CLIC3/GABRG3/GABRR3/ANO9/GABRA5/CLCNKA/GABRD/CLCN1/CLDN4/SLC26A6/FXYD1/GABRQ",36
"GO:0033218","amide binding","136/4787","405/18496",0.000298072369546133,0.00376316366551992,0.00308204215440793,"GCLC/FKBP4/CALCR/MAPK8IP2/MARCO/SLC7A9/CPS1/APBA2/MSR1/NPFFR2/CALCRL/GLP2R/SEC61A2/TRHDE/ACACB/ADCYAP1R1/ITM2A/OPRK1/ACHE/CMA1/TGFB2/KDELR3/NFKBIA/SLC7A5/CEMIP/LAPTM4B/CLEC4M/ATP1A3/GRIN2D/MAG/PLEKHA8/SLC1A1/PPIF/P2RX1/GNRHR/CRYAB/CCKBR/FOLR3/OPRM1/GHR/NPR3/PRLR/BCHE/VIPR1/ACADL/DHCR24/OPRD1/DLGAP3/FBXO2/PLA2G4A/APOA1/PRLHR/GRIA2/IAPP/RAMP3/NLN/AVPR2/MCHR1/GALR3/LBP/LDLR/NFATC1/RAMP2/PPARG/RAMP1/SSTR4/NMUR2/RXFP2/EPHB2/CD36/ITM2C/EDNRB/TLR4/PPIL1/LHCGR/SSTR1/FURIN/FKBP10/PTH2R/SRD5A1/PIK3R1/CRHBP/CACNA1B/GRIA4/GRIA1/LRP8/CLSTN2/CD1A/POM121L2/FTCD/PTH1R/SSTR5/CCKAR/NPY5R/ITGA2/APBB1/MC4R/ADRB2/NPR1/GPR37L1/GPR37/FPR2/NMUR1/GPR22/C1QA/FKBP2/PC/SLC19A1/TLR10/FZD4/GRIN1/TYMS/GLTPD2/KPNA2/GALR2/GRIN2A/CMKLR2/KPNA7/CD300LF/FFAR4/QRFPR/COL25A1/IPO4/MME/AVPR1B/HLA-DRB5/PFDN6/HLA-DOA/HLA-DRA/AGER/HLA-E/GCGR/TMEM158/OMP/TUBB3/NPBWR1",136
"GO:0090482","vitamin transmembrane transporter activity","19/4787","35/18496",0.000319470122339433,0.00399172977603497,0.00326923847385876,"SLC2A3/SLC52A3/SLC2A1/ABCG2/RTBDN/SLC52A1/SLC19A3/STRA6/SLC5A6/RBP4/SLC22A14/GC/SLC2A2/SLC25A32/SLC2A14/SLC19A1/SLC52A2/ABCA4/SLC23A3",19
"GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","12/4787","18/18496",0.000326668336285206,0.00404002064875173,0.0033087888412132,"ANGPT4/HBEGF/EREG/EGF/NRG1/TGFA/GREM1/EPGN/EFNA5/NRG3/ALKAL2/ALKAL1",12
"GO:0008574","plus-end-directed microtubule motor activity","11/4787","16/18496",0.000393978574739068,0.00482325285438131,0.00395025833045126,"KIF17/KIF14/KIF18A/KIF1C/KIF1A/KIF11/KIF20B/KIF5A/KIF5C/KIF18B/KIF19",11
